dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
bank-full,1,lr,Baseline,Baseline,0.119,0.068,0.067,0.119,0.068,0.067,0.899,0.696,0.771,0.66,0.029104,3.576171875
bank-full,1,rf,Baseline,Baseline,0.09,-0.011,0.016,0.09,-0.011,0.016,0.903,0.723,0.782,0.69,1.904655,49680.66796875
bank-full,1,svm,Baseline,Baseline,0.109,0.089,0.072,0.109,0.089,0.072,0.897,0.675,0.77,0.639,0.103488,3.455078125
bank-full,1,xgb,Baseline,Baseline,0.145,0.054,0.063,0.145,0.054,0.063,0.906,0.757,0.778,0.74,0.19924,335.728515625
bank-full,2,lr,Baseline,Baseline,0.095,0.121,0.08,0.095,0.121,0.08,0.901,0.693,0.772,0.656,0.022892,3.576171875
bank-full,2,rf,Baseline,Baseline,0.088,0.093,0.059,0.088,0.093,0.059,0.908,0.73,0.792,0.695,1.893522,50393.01171875
bank-full,2,svm,Baseline,Baseline,0.075,0.1,0.061,0.075,0.1,0.061,0.902,0.682,0.785,0.643,0.090321,3.455078125
bank-full,2,xgb,Baseline,Baseline,0.122,0.099,0.078,0.122,0.099,0.078,0.907,0.749,0.774,0.73,0.178358,342.162109375
bank-full,3,lr,Baseline,Baseline,0.108,0.063,0.063,0.108,0.063,0.063,0.904,0.706,0.788,0.667,0.024841,3.576171875
bank-full,3,rf,Baseline,Baseline,0.109,0.111,0.076,0.109,0.111,0.076,0.905,0.718,0.783,0.682,1.877511,49975.98046875
bank-full,3,svm,Baseline,Baseline,0.086,0.037,0.042,0.086,0.037,0.042,0.905,0.693,0.806,0.65,0.093114,3.455078125
bank-full,3,xgb,Baseline,Baseline,0.142,0.138,0.098,0.142,0.138,0.098,0.909,0.757,0.783,0.737,0.17761,336.0537109375
bank-full,4,lr,Baseline,Baseline,0.14,0.216,0.132,0.14,0.216,0.132,0.905,0.708,0.801,0.667,0.024155,3.576171875
bank-full,4,rf,Baseline,Baseline,0.144,0.138,0.105,0.144,0.138,0.105,0.906,0.724,0.796,0.687,1.884565,50111.13671875
bank-full,4,svm,Baseline,Baseline,0.111,0.181,0.105,0.111,0.181,0.105,0.904,0.689,0.811,0.646,0.096822,3.455078125
bank-full,4,xgb,Baseline,Baseline,0.163,0.063,0.086,0.163,0.063,0.086,0.907,0.75,0.785,0.725,0.191036,337.3857421875
bank-full,5,lr,Baseline,Baseline,0.131,0.219,0.135,0.131,0.219,0.135,0.905,0.698,0.782,0.659,0.023209,3.576171875
bank-full,5,rf,Baseline,Baseline,0.116,0.128,0.088,0.116,0.128,0.088,0.91,0.728,0.792,0.692,1.888831,50415.66796875
bank-full,5,svm,Baseline,Baseline,0.091,0.127,0.079,0.091,0.127,0.079,0.904,0.683,0.786,0.643,0.084964,3.455078125
bank-full,5,xgb,Baseline,Baseline,0.171,0.148,0.122,0.171,0.148,0.122,0.91,0.757,0.779,0.739,0.205765,340.7724609375
bank-full,6,lr,Baseline,Baseline,0.101,0.133,0.088,0.101,0.133,0.088,0.903,0.705,0.793,0.666,0.023825,3.576171875
bank-full,6,rf,Baseline,Baseline,0.093,0.099,0.068,0.093,0.099,0.068,0.907,0.722,0.803,0.682,1.915115,50239.73046875
bank-full,6,svm,Baseline,Baseline,0.082,0.085,0.061,0.082,0.085,0.061,0.903,0.691,0.802,0.65,0.105478,3.455078125
bank-full,6,xgb,Baseline,Baseline,0.108,0.12,0.079,0.108,0.12,0.079,0.907,0.749,0.785,0.724,0.189852,332.0693359375
bank-full,7,lr,Baseline,Baseline,0.114,0.093,0.071,0.114,0.093,0.071,0.9,0.697,0.788,0.658,0.024713,3.576171875
bank-full,7,rf,Baseline,Baseline,0.136,0.093,0.082,0.136,0.093,0.082,0.904,0.718,0.798,0.679,1.880774,50023.94921875
bank-full,7,svm,Baseline,Baseline,0.099,0.106,0.069,0.099,0.106,0.069,0.9,0.681,0.8,0.64,0.081273,3.455078125
bank-full,7,xgb,Baseline,Baseline,0.22,0.187,0.157,0.22,0.187,0.157,0.907,0.757,0.788,0.734,0.18703,331.7373046875
bank-full,8,lr,Baseline,Baseline,0.132,0.106,0.086,0.132,0.106,0.086,0.906,0.709,0.786,0.671,0.024952,3.576171875
bank-full,8,rf,Baseline,Baseline,0.113,0.064,0.056,0.113,0.064,0.056,0.908,0.726,0.79,0.69,1.879012,50031.44921875
bank-full,8,svm,Baseline,Baseline,0.105,0.067,0.061,0.105,0.067,0.061,0.904,0.686,0.787,0.647,0.088522,3.455078125
bank-full,8,xgb,Baseline,Baseline,0.167,0.137,0.109,0.167,0.137,0.109,0.906,0.741,0.772,0.718,0.190826,336.1923828125
bank-full,9,lr,Baseline,Baseline,0.102,0.092,0.062,0.102,0.092,0.062,0.901,0.7,0.786,0.662,0.023271,3.576171875
bank-full,9,rf,Baseline,Baseline,0.088,0.017,0.022,0.088,0.017,0.022,0.905,0.725,0.792,0.689,1.880922,49757.69921875
bank-full,9,svm,Baseline,Baseline,0.076,0.046,0.035,0.076,0.046,0.035,0.898,0.676,0.786,0.637,0.091256,3.455078125
bank-full,9,xgb,Baseline,Baseline,0.137,0.069,0.062,0.137,0.069,0.062,0.906,0.755,0.782,0.735,0.19064,345.0283203125
bank-full,10,lr,Baseline,Baseline,0.147,0.158,0.112,0.147,0.158,0.112,0.9,0.703,0.775,0.667,0.023962,3.576171875
bank-full,10,rf,Baseline,Baseline,0.146,0.135,0.1,0.146,0.135,0.1,0.903,0.72,0.784,0.685,1.877015,49362.07421875
bank-full,10,svm,Baseline,Baseline,0.124,0.127,0.091,0.124,0.127,0.091,0.9,0.687,0.785,0.648,0.091349,3.455078125
bank-full,10,xgb,Baseline,Baseline,0.168,0.084,0.088,0.168,0.084,0.088,0.905,0.752,0.777,0.733,0.183883,324.1025390625
bank-full,11,lr,Baseline,Baseline,0.159,0.225,0.147,0.159,0.225,0.147,0.904,0.705,0.786,0.666,0.02326,3.576171875
bank-full,11,rf,Baseline,Baseline,0.121,0.086,0.071,0.121,0.086,0.071,0.909,0.729,0.8,0.692,1.862035,50315.98046875
bank-full,11,svm,Baseline,Baseline,0.129,0.163,0.11,0.129,0.163,0.11,0.905,0.691,0.799,0.649,0.08994,3.455078125
bank-full,11,xgb,Baseline,Baseline,0.148,0.055,0.069,0.148,0.055,0.069,0.909,0.759,0.783,0.74,0.183671,331.669921875
bank-full,12,lr,Baseline,Baseline,0.088,0.061,0.042,0.088,0.061,0.042,0.9,0.692,0.78,0.654,0.022921,3.576171875
bank-full,12,rf,Baseline,Baseline,0.15,0.177,0.114,0.15,0.177,0.114,0.905,0.716,0.792,0.678,1.870166,50264.10546875
bank-full,12,svm,Baseline,Baseline,0.08,0.089,0.049,0.08,0.089,0.049,0.9,0.675,0.786,0.636,0.080936,3.455078125
bank-full,12,xgb,Baseline,Baseline,0.127,0.039,0.046,0.127,0.039,0.046,0.907,0.749,0.783,0.724,0.179785,331.47265625
bank-full,13,lr,Baseline,Baseline,0.117,0.089,0.068,0.117,0.089,0.068,0.905,0.71,0.792,0.671,0.023617,3.576171875
bank-full,13,rf,Baseline,Baseline,0.111,0.045,0.048,0.111,0.045,0.048,0.906,0.72,0.791,0.683,1.841715,49908.48046875
bank-full,13,svm,Baseline,Baseline,0.091,0.045,0.043,0.091,0.045,0.043,0.902,0.685,0.792,0.644,0.093669,3.455078125
bank-full,13,xgb,Baseline,Baseline,0.149,0.012,0.053,0.149,0.012,0.053,0.907,0.75,0.78,0.728,0.178453,338.845703125
bank-full,14,lr,Baseline,Baseline,0.133,0.203,0.114,0.133,0.203,0.114,0.899,0.703,0.776,0.667,0.023124,3.576171875
bank-full,14,rf,Baseline,Baseline,0.122,0.114,0.074,0.122,0.114,0.074,0.902,0.723,0.786,0.688,1.888721,49632.54296875
bank-full,14,svm,Baseline,Baseline,0.103,0.12,0.072,0.103,0.12,0.072,0.898,0.685,0.787,0.646,0.101467,3.455078125
bank-full,14,xgb,Baseline,Baseline,0.182,0.215,0.137,0.182,0.215,0.137,0.903,0.748,0.777,0.726,0.183925,324.7646484375
bank-full,15,lr,Baseline,Baseline,0.146,0.169,0.109,0.146,0.169,0.109,0.902,0.705,0.79,0.667,0.023471,3.576171875
bank-full,15,rf,Baseline,Baseline,0.132,0.033,0.054,0.132,0.033,0.054,0.905,0.723,0.795,0.685,1.855579,50039.10546875
bank-full,15,svm,Baseline,Baseline,0.124,0.159,0.095,0.124,0.159,0.095,0.902,0.69,0.801,0.648,0.093107,3.455078125
bank-full,15,xgb,Baseline,Baseline,0.197,0.132,0.12,0.197,0.132,0.12,0.903,0.745,0.776,0.722,0.186049,333.529296875
bank-full,16,lr,Baseline,Baseline,0.101,0.167,0.098,0.101,0.167,0.098,0.905,0.703,0.781,0.666,0.024038,3.576171875
bank-full,16,rf,Baseline,Baseline,0.063,-0.003,0.011,0.063,-0.003,0.011,0.905,0.717,0.778,0.683,1.855996,50020.51171875
bank-full,16,svm,Baseline,Baseline,0.086,0.125,0.077,0.086,0.125,0.077,0.904,0.684,0.787,0.644,0.087511,3.455078125
bank-full,16,xgb,Baseline,Baseline,0.11,0.023,0.043,0.11,0.023,0.043,0.908,0.754,0.776,0.736,0.186674,332.4052734375
bank-full,17,lr,Baseline,Baseline,0.109,0.063,0.059,0.109,0.063,0.059,0.899,0.695,0.787,0.657,0.024448,3.576171875
bank-full,17,rf,Baseline,Baseline,0.088,0.022,0.023,0.088,0.022,0.023,0.905,0.728,0.804,0.689,1.862012,49434.41796875
bank-full,17,svm,Baseline,Baseline,0.091,0.054,0.048,0.091,0.054,0.048,0.897,0.676,0.794,0.636,0.093055,3.455078125
bank-full,17,xgb,Baseline,Baseline,0.132,0.085,0.066,0.132,0.085,0.066,0.905,0.748,0.787,0.722,0.187962,325.1005859375
bank-full,18,lr,Baseline,Baseline,0.129,0.164,0.118,0.129,0.164,0.118,0.9,0.7,0.785,0.662,0.023658,3.576171875
bank-full,18,rf,Baseline,Baseline,0.116,0.137,0.097,0.116,0.137,0.097,0.902,0.718,0.786,0.683,1.871612,49447.54296875
bank-full,18,svm,Baseline,Baseline,0.096,0.139,0.09,0.096,0.139,0.09,0.897,0.68,0.784,0.642,0.099224,3.455078125
bank-full,18,xgb,Baseline,Baseline,0.146,0.148,0.114,0.146,0.148,0.114,0.905,0.75,0.785,0.725,0.190685,341.7041015625
bank-full,19,lr,Baseline,Baseline,0.079,0.008,0.027,0.079,0.008,0.027,0.907,0.71,0.788,0.672,0.023399,3.576171875
bank-full,19,rf,Baseline,Baseline,0.086,-0.009,0.023,0.086,-0.009,0.023,0.906,0.719,0.776,0.686,1.856599,50203.16796875
bank-full,19,svm,Baseline,Baseline,0.055,-0.013,0.008,0.055,-0.013,0.008,0.906,0.689,0.794,0.648,0.093223,3.455078125
bank-full,19,xgb,Baseline,Baseline,0.142,0.057,0.076,0.142,0.057,0.076,0.907,0.748,0.772,0.729,0.189496,332.26953125
bank-full,20,lr,Baseline,Baseline,0.105,0.045,0.045,0.105,0.045,0.045,0.905,0.707,0.783,0.67,0.022967,3.576171875
bank-full,20,rf,Baseline,Baseline,0.128,0.084,0.066,0.128,0.084,0.066,0.909,0.729,0.793,0.693,1.865191,50138.01171875
bank-full,20,svm,Baseline,Baseline,0.077,0.032,0.026,0.077,0.032,0.026,0.904,0.69,0.788,0.65,0.093539,3.455078125
bank-full,20,xgb,Baseline,Baseline,0.189,0.113,0.107,0.189,0.113,0.107,0.91,0.756,0.782,0.737,0.188134,331.40625
bank-full,21,lr,Baseline,Baseline,0.129,0.187,0.128,0.129,0.187,0.128,0.905,0.706,0.791,0.667,0.02324,3.576171875
bank-full,21,rf,Baseline,Baseline,0.132,0.158,0.115,0.132,0.158,0.115,0.911,0.736,0.804,0.698,1.866195,50409.10546875
bank-full,21,svm,Baseline,Baseline,0.105,0.13,0.094,0.105,0.13,0.094,0.905,0.692,0.801,0.65,0.090722,3.455078125
bank-full,21,xgb,Baseline,Baseline,0.179,0.136,0.132,0.179,0.136,0.132,0.911,0.761,0.789,0.74,0.183759,328.6826171875
bank-full,22,lr,Baseline,Baseline,0.107,0.134,0.084,0.107,0.134,0.084,0.903,0.699,0.783,0.661,0.021449,3.576171875
bank-full,22,rf,Baseline,Baseline,0.122,0.127,0.088,0.122,0.127,0.088,0.906,0.717,0.788,0.68,1.897539,50484.88671875
bank-full,22,svm,Baseline,Baseline,0.103,0.126,0.082,0.103,0.126,0.082,0.903,0.683,0.791,0.643,0.085973,3.455078125
bank-full,22,xgb,Baseline,Baseline,0.166,0.167,0.123,0.166,0.167,0.123,0.906,0.744,0.776,0.72,0.183642,320.849609375
bank-full,23,lr,Baseline,Baseline,0.118,0.111,0.088,0.118,0.111,0.088,0.9,0.694,0.776,0.658,0.022618,3.576171875
bank-full,23,rf,Baseline,Baseline,0.093,0.019,0.036,0.093,0.019,0.036,0.905,0.721,0.793,0.684,1.854956,49968.16796875
bank-full,23,svm,Baseline,Baseline,0.093,0.104,0.073,0.093,0.104,0.073,0.899,0.677,0.785,0.638,0.080435,3.455078125
bank-full,23,xgb,Baseline,Baseline,0.142,0.105,0.091,0.142,0.105,0.091,0.907,0.748,0.783,0.724,0.192197,327.294921875
bank-full,24,lr,Baseline,Baseline,0.118,0.153,0.098,0.118,0.153,0.098,0.903,0.706,0.787,0.668,0.022877,3.576171875
bank-full,24,rf,Baseline,Baseline,0.102,0.08,0.057,0.102,0.08,0.057,0.908,0.732,0.8,0.694,1.858449,50104.57421875
bank-full,24,svm,Baseline,Baseline,0.085,0.067,0.051,0.085,0.067,0.051,0.901,0.687,0.788,0.648,0.082543,3.455078125
bank-full,24,xgb,Baseline,Baseline,0.117,0.041,0.045,0.117,0.041,0.045,0.909,0.763,0.785,0.745,0.187666,323.962890625
bank-full,25,lr,Baseline,Baseline,0.132,0.163,0.104,0.132,0.163,0.104,0.906,0.71,0.793,0.671,0.022813,3.576171875
bank-full,25,rf,Baseline,Baseline,0.122,0.169,0.093,0.122,0.169,0.093,0.909,0.731,0.792,0.696,1.880117,50023.32421875
bank-full,25,svm,Baseline,Baseline,0.113,0.135,0.087,0.113,0.135,0.087,0.905,0.692,0.801,0.65,0.088504,3.455078125
bank-full,25,xgb,Baseline,Baseline,0.115,0.061,0.047,0.115,0.061,0.047,0.907,0.748,0.775,0.727,0.184395,332.8671875
bank-full,26,lr,Baseline,Baseline,0.098,0.023,0.043,0.098,0.023,0.043,0.901,0.696,0.777,0.659,0.023333,3.576171875
bank-full,26,rf,Baseline,Baseline,0.116,0.06,0.064,0.116,0.06,0.064,0.905,0.712,0.788,0.675,1.868276,49629.88671875
bank-full,26,svm,Baseline,Baseline,0.075,-0.046,0.007,0.075,-0.046,0.007,0.9,0.683,0.782,0.644,0.085759,3.455078125
bank-full,26,xgb,Baseline,Baseline,0.151,0.071,0.081,0.151,0.071,0.081,0.907,0.746,0.781,0.722,0.17794,325.8955078125
bank-full,27,lr,Baseline,Baseline,0.107,0.049,0.066,0.107,0.049,0.066,0.9,0.704,0.781,0.667,0.023441,3.576171875
bank-full,27,rf,Baseline,Baseline,0.133,0.15,0.117,0.133,0.15,0.117,0.906,0.727,0.8,0.69,1.882538,50121.76171875
bank-full,27,svm,Baseline,Baseline,0.086,0.031,0.048,0.086,0.031,0.048,0.899,0.686,0.786,0.647,0.088998,3.455078125
bank-full,27,xgb,Baseline,Baseline,0.152,0.108,0.108,0.152,0.108,0.108,0.906,0.755,0.782,0.734,0.17893,329.0166015625
bank-full,28,lr,Baseline,Baseline,0.114,0.147,0.104,0.114,0.147,0.104,0.899,0.689,0.772,0.652,0.022938,3.576171875
bank-full,28,rf,Baseline,Baseline,0.076,0.08,0.052,0.076,0.08,0.052,0.906,0.715,0.795,0.676,1.843056,50075.04296875
bank-full,28,svm,Baseline,Baseline,0.074,0.116,0.069,0.074,0.116,0.069,0.899,0.672,0.78,0.634,0.095567,3.455078125
bank-full,28,xgb,Baseline,Baseline,0.114,0.01,0.045,0.114,0.01,0.045,0.905,0.744,0.776,0.721,0.183637,342.9609375
bank-full,29,lr,Baseline,Baseline,0.136,0.232,0.151,0.136,0.232,0.151,0.903,0.701,0.78,0.663,0.023603,3.576171875
bank-full,29,rf,Baseline,Baseline,0.103,0.136,0.092,0.103,0.136,0.092,0.908,0.727,0.795,0.69,1.869823,50075.04296875
bank-full,29,svm,Baseline,Baseline,0.095,0.199,0.115,0.095,0.199,0.115,0.901,0.682,0.783,0.643,0.08091,3.455078125
bank-full,29,xgb,Baseline,Baseline,0.135,0.147,0.109,0.135,0.147,0.109,0.91,0.759,0.787,0.737,0.18363,329.8798828125
bank-full,30,lr,Baseline,Baseline,0.133,0.127,0.103,0.133,0.127,0.103,0.902,0.698,0.779,0.661,0.025806,3.576171875
bank-full,30,rf,Baseline,Baseline,0.15,0.188,0.132,0.15,0.188,0.132,0.903,0.712,0.78,0.677,1.858902,50191.29296875
bank-full,30,svm,Baseline,Baseline,0.09,0.039,0.048,0.09,0.039,0.048,0.901,0.682,0.784,0.643,0.095935,3.455078125
bank-full,30,xgb,Baseline,Baseline,0.166,0.141,0.115,0.166,0.141,0.115,0.909,0.758,0.781,0.74,0.180052,335.19921875
