dataset,iteration,model,type,sol_name,age_mean_diff,age_eq_opp_diff,age_avg_odds_diff,sex_mean_diff,sex_eq_opp_diff,sex_avg_odds_diff,race_mean_diff,race_eq_opp_diff,race_avg_odds_diff,overall_mean_diff,overall_eq_opp_diff,overall_avg_odds_diff,accuracy,f1_score,precision,recall,elapsed_time,size
speedDating,1,lr,Baseline,Baseline,-0.03,0.0,-0.0,0.018,0.0,0.0,-0.003,0.0,-0.001,0.08,0.0,0.0,1.0,0.999,0.999,1.0,0.047274,27.0615234375
speedDating,1,rf,Baseline,Baseline,-0.053,-0.218,-0.11,0.019,0.039,0.02,-0.017,-0.078,-0.04,-0.024,-0.299,-0.15,0.938,0.87,0.962,0.818,0.545793,7300.9775390625
speedDating,1,svm,Baseline,Baseline,-0.031,0.0,-0.001,0.018,0.0,0.0,-0.003,0.0,-0.001,0.076,0.0,-0.002,0.999,0.998,0.997,0.999,1.749644,26.9375
speedDating,1,xgb,Baseline,Baseline,-0.029,0.0,0.0,0.017,0.0,0.0,-0.002,0.0,0.0,0.08,0.0,0.0,1.0,1.0,1.0,1.0,0.143167,102.6904296875
speedDating,2,lr,Baseline,Baseline,-0.015,0.0,0.0,0.002,0.005,0.002,-0.0,0.007,0.003,-0.062,0.0,0.0,1.0,0.999,1.0,0.999,0.037583,27.0615234375
speedDating,2,rf,Baseline,Baseline,-0.054,-0.272,-0.136,0.009,0.05,0.025,-0.016,-0.082,-0.041,-0.131,-0.704,-0.352,0.941,0.871,0.967,0.817,0.536737,7527.7197265625
speedDating,2,svm,Baseline,Baseline,-0.015,0.0,0.0,0.001,0.0,0.0,-0.002,0.0,0.0,-0.062,0.0,0.0,1.0,1.0,1.0,1.0,4.049622,26.9375
speedDating,2,xgb,Baseline,Baseline,-0.015,0.0,0.0,0.001,0.0,0.0,-0.002,0.0,0.0,-0.062,0.0,0.0,1.0,1.0,1.0,1.0,0.142306,102.6884765625
speedDating,3,lr,Baseline,Baseline,-0.044,0.003,0.002,0.009,-0.005,-0.002,-0.031,0.0,0.0,-0.098,0.0,0.0,1.0,0.999,1.0,0.999,0.038651,27.0615234375
speedDating,3,rf,Baseline,Baseline,-0.071,-0.282,-0.141,0.002,-0.035,-0.017,-0.04,-0.098,-0.049,-0.058,0.194,0.097,0.948,0.894,0.969,0.847,0.510149,7046.0810546875
speedDating,3,svm,Baseline,Baseline,-0.045,0.0,-0.0,0.009,0.0,-0.0,-0.032,0.0,-0.001,-0.102,0.0,-0.002,1.0,0.999,0.999,1.0,3.52303,26.9375
speedDating,3,xgb,Baseline,Baseline,-0.045,0.0,0.0,0.01,0.0,0.0,-0.031,0.0,0.0,-0.098,0.0,0.0,1.0,1.0,1.0,1.0,0.134663,102.6904296875
speedDating,4,lr,Baseline,Baseline,-0.032,0.003,0.001,0.015,-0.004,-0.002,0.0,-0.012,-0.007,-0.199,nan,nan,0.999,0.999,0.999,0.999,0.038226,27.0615234375
speedDating,4,rf,Baseline,Baseline,-0.066,-0.286,-0.143,0.012,0.007,0.004,-0.01,-0.068,-0.034,-0.125,nan,nan,0.947,0.892,0.97,0.844,0.542789,7201.5732421875
speedDating,4,svm,Baseline,Baseline,-0.034,0.0,-0.001,0.012,0.0,-0.002,0.0,0.0,-0.002,-0.206,nan,nan,0.998,0.997,0.995,0.999,3.241782,26.9375
speedDating,4,xgb,Baseline,Baseline,-0.032,0.0,0.0,0.015,0.0,0.0,0.004,0.0,0.0,-0.199,nan,nan,1.0,1.0,1.0,1.0,0.138361,102.6904296875
speedDating,5,lr,Baseline,Baseline,-0.039,0.012,0.006,-0.001,-0.018,-0.009,-0.037,0.018,0.008,-0.085,0.0,0.0,0.998,0.996,0.998,0.995,0.037897,27.0615234375
speedDating,5,rf,Baseline,Baseline,-0.058,-0.216,-0.108,0.0,-0.004,-0.002,-0.032,-0.033,-0.016,-0.017,0.299,0.149,0.939,0.874,0.966,0.822,0.513768,7320.1904296875
speedDating,5,svm,Baseline,Baseline,-0.042,0.0,-0.001,0.003,0.0,0.001,-0.04,0.0,-0.0,-0.088,0.0,-0.002,0.998,0.997,0.995,0.999,3.917203,26.9375
speedDating,5,xgb,Baseline,Baseline,-0.041,0.0,0.0,0.001,0.0,0.0,-0.04,0.0,0.0,-0.085,0.0,0.0,1.0,1.0,1.0,1.0,0.140744,102.6904296875
speedDating,6,lr,Baseline,Baseline,-0.096,0.0,-0.002,-0.04,0.0,-0.001,-0.017,0.0,0.004,-0.149,0.0,0.0,0.998,0.995,0.992,0.999,0.03815,27.0615234375
speedDating,6,rf,Baseline,Baseline,-0.108,-0.552,-0.276,-0.013,0.092,0.046,-0.02,-0.017,-0.009,-0.07,0.319,0.16,0.955,0.9,0.975,0.852,0.517209,7128.6015625
speedDating,6,svm,Baseline,Baseline,-0.093,0.0,-0.001,-0.037,0.0,0.001,-0.023,0.0,0.0,-0.149,0.0,0.0,0.999,0.998,0.997,1.0,2.609798,26.9375
speedDating,6,xgb,Baseline,Baseline,-0.092,0.0,0.0,-0.038,0.0,0.0,-0.023,0.0,0.0,-0.149,0.0,0.0,1.0,1.0,1.0,1.0,0.138568,102.6884765625
speedDating,7,lr,Baseline,Baseline,-0.05,0.0,-0.0,0.006,0.005,0.003,-0.046,0.007,0.003,-0.081,0.0,0.0,0.999,0.999,0.999,0.999,0.039382,27.0615234375
speedDating,7,rf,Baseline,Baseline,-0.035,-0.003,-0.001,-0.003,-0.039,-0.019,-0.042,-0.091,-0.045,-0.018,0.304,0.152,0.948,0.886,0.971,0.835,0.503343,7305.6533203125
speedDating,7,svm,Baseline,Baseline,-0.049,0.0,0.0,0.004,0.0,0.0,-0.046,0.0,0.0,-0.081,0.0,0.0,1.0,1.0,1.0,1.0,4.183721,26.9375
speedDating,7,xgb,Baseline,Baseline,-0.049,0.0,0.0,0.004,0.0,0.0,-0.046,0.0,0.0,-0.081,0.0,0.0,1.0,1.0,1.0,1.0,0.137086,102.6904296875
speedDating,8,lr,Baseline,Baseline,-0.121,0.0,0.0,0.009,0.0,0.0,0.013,0.0,0.0,-0.195,nan,nan,1.0,1.0,1.0,1.0,0.038195,27.0615234375
speedDating,8,rf,Baseline,Baseline,-0.091,-0.171,-0.085,-0.006,-0.076,-0.038,-0.005,-0.078,-0.039,-0.147,nan,nan,0.946,0.886,0.969,0.835,0.521721,7433.0263671875
speedDating,8,svm,Baseline,Baseline,-0.121,0.0,0.0,0.009,0.0,0.0,0.013,0.0,0.0,-0.195,nan,nan,1.0,1.0,1.0,1.0,2.823036,26.9375
speedDating,8,xgb,Baseline,Baseline,-0.121,0.0,0.0,0.009,0.0,0.0,0.013,0.0,0.0,-0.195,nan,nan,1.0,1.0,1.0,1.0,0.139459,102.6884765625
speedDating,9,lr,Baseline,Baseline,-0.127,0.0,-0.0,-0.007,0.005,0.003,-0.011,0.007,0.003,-0.123,0.0,0.0,0.999,0.999,0.999,0.999,0.037579,27.0615234375
speedDating,9,rf,Baseline,Baseline,-0.101,-0.203,-0.102,-0.004,0.014,0.007,-0.029,-0.121,-0.061,-0.055,0.306,0.153,0.948,0.895,0.969,0.848,0.493211,6968.1181640625
speedDating,9,svm,Baseline,Baseline,-0.127,0.0,0.0,-0.008,0.0,0.0,-0.011,0.0,0.0,-0.123,0.0,0.0,1.0,1.0,1.0,1.0,2.493802,26.9375
speedDating,9,xgb,Baseline,Baseline,-0.127,0.0,0.0,-0.008,0.0,0.0,-0.011,0.0,0.0,-0.123,0.0,0.0,1.0,1.0,1.0,1.0,0.136982,102.6904296875
speedDating,10,lr,Baseline,Baseline,-0.115,0.0,-0.001,0.0,0.0,0.001,-0.011,0.0,0.0,-0.032,0.0,0.0,0.999,0.998,0.997,1.0,0.03755,27.0615234375
speedDating,10,rf,Baseline,Baseline,-0.085,0.035,0.018,-0.004,-0.017,-0.008,-0.024,-0.098,-0.049,0.009,0.208,0.104,0.961,0.917,0.978,0.875,0.491121,7097.5078125
speedDating,10,svm,Baseline,Baseline,-0.115,0.0,-0.001,-0.001,0.0,0.0,-0.012,0.0,-0.001,-0.036,0.0,-0.002,0.999,0.998,0.996,0.999,5.987719,26.9384765625
speedDating,10,xgb,Baseline,Baseline,-0.114,0.0,0.0,-0.001,0.0,0.0,-0.011,0.0,0.0,-0.032,0.0,0.0,1.0,1.0,1.0,1.0,0.135743,102.6884765625
speedDating,11,lr,Baseline,Baseline,-0.123,0.0,-0.0,0.014,0.0,-0.0,0.013,0.0,0.0,-0.05,0.0,0.0,1.0,0.999,0.999,1.0,0.037479,27.0615234375
speedDating,11,rf,Baseline,Baseline,-0.078,0.075,0.037,0.011,0.01,0.005,-0.018,-0.143,-0.072,0.008,0.302,0.151,0.943,0.879,0.968,0.827,0.514589,7416.1396484375
speedDating,11,svm,Baseline,Baseline,-0.124,0.0,-0.001,0.012,0.0,-0.001,0.015,0.0,0.001,-0.05,0.0,0.0,0.999,0.998,0.996,0.999,4.195402,26.9375
speedDating,11,xgb,Baseline,Baseline,-0.122,0.0,0.0,0.015,0.0,0.0,0.013,0.0,0.0,-0.05,0.0,0.0,1.0,1.0,1.0,1.0,0.136619,102.6884765625
speedDating,12,lr,Baseline,Baseline,-0.05,0.0,0.0,-0.009,0.0,0.0,0.004,0.0,0.0,-0.104,0.0,0.0,1.0,1.0,1.0,1.0,0.036819,27.0615234375
speedDating,12,rf,Baseline,Baseline,-0.071,-0.277,-0.139,0.001,0.042,0.021,-0.014,-0.089,-0.045,-0.13,-0.607,-0.303,0.941,0.879,0.967,0.828,0.520558,7342.837890625
speedDating,12,svm,Baseline,Baseline,-0.05,0.0,0.0,-0.007,0.0,0.001,0.006,0.0,0.001,-0.104,0.0,0.0,0.999,0.999,0.998,1.0,4.843518,26.9375
speedDating,12,xgb,Baseline,Baseline,-0.05,0.0,0.0,-0.009,0.0,0.0,0.004,0.0,0.0,-0.104,0.0,0.0,1.0,1.0,1.0,1.0,0.139756,102.6904296875
speedDating,13,lr,Baseline,Baseline,-0.098,0.0,-0.0,0.009,0.0,0.0,0.003,0.0,-0.001,-0.083,0.0,0.0,1.0,0.999,0.999,1.0,0.036912,27.0615234375
speedDating,13,rf,Baseline,Baseline,-0.11,-0.498,-0.249,0.002,-0.011,-0.006,-0.014,-0.089,-0.044,-0.128,-0.661,-0.331,0.93,0.85,0.958,0.795,0.504565,7549.5859375
speedDating,13,svm,Baseline,Baseline,-0.098,0.0,0.0,0.008,0.0,0.0,0.004,0.0,0.0,-0.083,0.0,0.0,1.0,1.0,1.0,1.0,3.863793,26.9375
speedDating,13,xgb,Baseline,Baseline,-0.098,0.0,0.0,0.008,0.0,0.0,0.004,0.0,0.0,-0.083,0.0,0.0,1.0,1.0,1.0,1.0,0.132647,102.6904296875
speedDating,14,lr,Baseline,Baseline,-0.06,0.0,0.0,0.031,0.005,0.003,-0.045,0.006,0.003,-0.196,nan,nan,1.0,0.999,1.0,0.999,0.037879,27.0615234375
speedDating,14,rf,Baseline,Baseline,-0.059,-0.185,-0.093,0.019,0.003,0.001,-0.031,-0.015,-0.007,-0.112,nan,nan,0.934,0.856,0.963,0.801,0.505969,7552.0712890625
speedDating,14,svm,Baseline,Baseline,-0.06,0.0,-0.0,0.03,0.0,-0.0,-0.048,0.0,-0.001,-0.2,nan,nan,1.0,0.999,0.999,1.0,4.598715,26.9384765625
speedDating,14,xgb,Baseline,Baseline,-0.06,0.0,0.0,0.031,0.0,0.0,-0.047,0.0,0.0,-0.196,nan,nan,1.0,1.0,1.0,1.0,0.141026,102.6904296875
speedDating,15,lr,Baseline,Baseline,-0.088,0.0,-0.001,0.019,0.0,0.001,-0.0,0.0,-0.001,-0.197,nan,nan,0.999,0.999,0.998,1.0,0.036474,27.0615234375
speedDating,15,rf,Baseline,Baseline,-0.089,-0.281,-0.14,0.012,0.002,0.001,-0.034,-0.193,-0.096,-0.157,nan,nan,0.948,0.894,0.971,0.847,0.498383,7116.0869140625
speedDating,15,svm,Baseline,Baseline,-0.074,0.0,0.007,0.015,0.0,-0.001,-0.003,0.0,-0.003,-0.197,nan,nan,0.998,0.996,0.994,0.999,2.133061,26.9375
speedDating,15,xgb,Baseline,Baseline,-0.087,0.0,0.0,0.017,0.0,0.0,0.002,0.0,0.0,-0.197,nan,nan,1.0,1.0,1.0,1.0,0.143434,102.6904296875
speedDating,16,lr,Baseline,Baseline,-0.046,0.0,-0.0,0.006,0.005,0.003,0.008,0.007,0.003,-0.081,0.0,0.0,0.999,0.999,0.999,0.999,0.036861,27.0615234375
speedDating,16,rf,Baseline,Baseline,-0.044,-0.068,-0.034,0.002,-0.007,-0.004,-0.032,-0.213,-0.107,-0.149,-0.824,-0.412,0.957,0.911,0.976,0.867,0.490927,6999.5126953125
speedDating,16,svm,Baseline,Baseline,-0.046,0.0,-0.0,0.004,0.0,-0.0,0.007,0.0,-0.001,-0.084,0.0,-0.002,1.0,0.999,0.999,1.0,2.815398,26.9375
speedDating,16,xgb,Baseline,Baseline,-0.045,0.0,0.0,0.005,0.0,0.0,0.008,0.0,0.0,-0.081,0.0,0.0,1.0,1.0,1.0,1.0,0.140763,102.6884765625
speedDating,17,lr,Baseline,Baseline,-0.03,0.0,0.0,-0.018,0.0,0.0,-0.021,0.0,0.0,0.178,0.0,0.0,1.0,1.0,1.0,1.0,0.036724,27.0615234375
speedDating,17,rf,Baseline,Baseline,-0.057,-0.245,-0.123,-0.024,-0.07,-0.035,-0.049,-0.201,-0.101,0.036,-0.223,-0.114,0.926,0.847,0.957,0.792,0.51934,7411.455078125
speedDating,17,svm,Baseline,Baseline,-0.03,0.0,0.0,-0.018,0.0,0.0,-0.021,0.0,0.0,0.178,0.0,0.0,1.0,1.0,1.0,1.0,1.615953,26.9375
speedDating,17,xgb,Baseline,Baseline,-0.03,0.0,0.0,-0.018,0.0,0.0,-0.021,0.0,0.0,0.178,0.0,0.0,1.0,1.0,1.0,1.0,0.126763,102.6904296875
speedDating,18,lr,Baseline,Baseline,-0.054,0.0,-0.0,-0.008,0.0,0.0,-0.015,0.0,-0.001,-0.217,nan,nan,1.0,0.999,0.999,1.0,0.038413,27.0615234375
speedDating,18,rf,Baseline,Baseline,-0.038,-0.026,-0.013,-0.01,-0.02,-0.01,-0.025,-0.086,-0.044,-0.15,nan,nan,0.941,0.871,0.965,0.818,0.527229,7656.4931640625
speedDating,18,svm,Baseline,Baseline,-0.056,0.0,-0.001,-0.012,0.0,-0.002,-0.013,0.0,0.001,-0.221,nan,nan,0.998,0.997,0.995,0.999,2.97417,26.9375
speedDating,18,xgb,Baseline,Baseline,-0.053,0.0,0.0,-0.009,0.0,0.0,-0.013,0.0,0.0,-0.217,nan,nan,1.0,1.0,1.0,1.0,0.140739,102.6884765625
speedDating,19,lr,Baseline,Baseline,-0.1,0.0,0.0,0.013,0.014,0.007,-0.008,0.018,0.009,-0.224,nan,nan,0.999,0.998,0.999,0.997,0.038529,27.0615234375
speedDating,19,rf,Baseline,Baseline,-0.088,-0.242,-0.121,0.01,0.01,0.006,-0.045,-0.198,-0.099,-0.164,nan,nan,0.934,0.867,0.961,0.815,0.525758,7010.17578125
speedDating,19,svm,Baseline,Baseline,-0.1,0.0,-0.0,0.01,0.0,-0.0,-0.013,0.0,-0.001,-0.228,nan,nan,1.0,0.999,0.999,1.0,3.152242,26.9375
speedDating,19,xgb,Baseline,Baseline,-0.1,0.0,0.0,0.011,0.0,0.0,-0.012,0.0,0.0,-0.224,nan,nan,1.0,1.0,1.0,1.0,0.139681,102.6904296875
speedDating,20,lr,Baseline,Baseline,-0.042,0.0,0.0,-0.004,0.005,0.002,0.0,0.007,0.003,-0.06,0.0,0.0,1.0,0.999,1.0,0.999,0.037176,27.0615234375
speedDating,20,rf,Baseline,Baseline,-0.047,-0.13,-0.065,-0.007,-0.022,-0.011,-0.018,-0.098,-0.049,-0.002,0.34,0.17,0.937,0.871,0.964,0.819,0.526969,7257.0625
speedDating,20,svm,Baseline,Baseline,-0.042,0.0,0.0,-0.005,0.0,0.0,-0.001,0.0,0.0,-0.06,0.0,0.0,1.0,1.0,1.0,1.0,4.656315,26.9375
speedDating,20,xgb,Baseline,Baseline,-0.042,0.0,0.0,-0.005,0.0,0.0,-0.001,0.0,0.0,-0.06,0.0,0.0,1.0,1.0,1.0,1.0,0.137241,102.6904296875
speedDating,21,lr,Baseline,Baseline,0.005,0.0,0.0,-0.021,0.005,0.002,-0.018,0.007,0.003,-0.084,0.0,0.0,1.0,0.999,1.0,0.999,0.037074,27.0615234375
speedDating,21,rf,Baseline,Baseline,-0.022,-0.133,-0.067,-0.003,0.067,0.034,-0.047,-0.205,-0.103,-0.01,0.328,0.164,0.942,0.877,0.968,0.824,0.528363,7485.8388671875
speedDating,21,svm,Baseline,Baseline,0.005,0.0,0.0,-0.022,0.0,0.0,-0.019,0.0,0.0,-0.084,0.0,0.0,1.0,1.0,1.0,1.0,0.941644,26.9375
speedDating,21,xgb,Baseline,Baseline,0.005,0.0,0.0,-0.022,0.0,0.0,-0.019,0.0,0.0,-0.084,0.0,0.0,1.0,1.0,1.0,1.0,0.135828,102.6904296875
speedDating,22,lr,Baseline,Baseline,-0.076,0.01,0.004,-0.02,-0.006,-0.002,-0.001,-0.005,-0.003,-0.232,nan,nan,0.998,0.997,0.998,0.996,0.037806,27.0615234375
speedDating,22,rf,Baseline,Baseline,-0.085,-0.288,-0.144,-0.006,0.055,0.027,-0.027,-0.151,-0.076,-0.176,nan,nan,0.952,0.9,0.971,0.854,0.50131,6973.8935546875
speedDating,22,svm,Baseline,Baseline,-0.077,0.0,0.0,-0.02,0.0,0.0,0.001,0.0,0.0,-0.236,nan,nan,1.0,1.0,1.0,1.0,2.500022,26.9375
speedDating,22,xgb,Baseline,Baseline,-0.077,0.0,0.0,-0.02,0.0,0.0,0.001,0.0,0.0,-0.236,nan,nan,1.0,1.0,1.0,1.0,0.139276,102.6904296875
speedDating,23,lr,Baseline,Baseline,-0.085,0.0,-0.0,-0.009,0.0,0.0,0.007,0.0,-0.001,0.061,0.0,0.0,1.0,0.999,0.999,1.0,0.041059,27.0615234375
speedDating,23,rf,Baseline,Baseline,-0.063,0.002,0.001,-0.008,-0.009,-0.005,-0.025,-0.163,-0.082,0.119,0.258,0.129,0.953,0.907,0.973,0.863,0.521978,7192.9736328125
speedDating,23,svm,Baseline,Baseline,-0.084,0.0,0.0,-0.009,0.0,0.0,0.008,0.0,0.0,0.061,0.0,0.0,1.0,1.0,1.0,1.0,2.717739,26.9375
speedDating,23,xgb,Baseline,Baseline,-0.084,0.0,0.0,-0.009,0.0,0.0,0.008,0.0,0.0,0.061,0.0,0.0,1.0,1.0,1.0,1.0,0.141198,102.6904296875
speedDating,24,lr,Baseline,Baseline,-0.048,0.0,0.0,-0.01,0.0,0.0,-0.012,0.0,0.0,-0.106,0.0,0.0,1.0,1.0,1.0,1.0,0.037582,27.0615234375
speedDating,24,rf,Baseline,Baseline,-0.058,-0.193,-0.097,0.01,0.113,0.056,-0.026,-0.096,-0.049,-0.036,0.356,0.176,0.948,0.884,0.966,0.833,0.5155,7150.9423828125
speedDating,24,svm,Baseline,Baseline,-0.048,0.0,0.0,-0.01,0.0,0.0,-0.012,0.0,0.0,-0.106,0.0,0.0,1.0,1.0,1.0,1.0,3.85774,26.9375
speedDating,24,xgb,Baseline,Baseline,-0.048,0.0,0.0,-0.01,0.0,0.0,-0.012,0.0,0.0,-0.106,0.0,0.0,1.0,1.0,1.0,1.0,0.141476,102.6904296875
speedDating,25,lr,Baseline,Baseline,-0.063,0.0,-0.0,-0.008,0.0,-0.001,-0.018,0.0,-0.001,-0.212,nan,nan,0.999,0.998,0.996,0.999,0.039422,27.0615234375
speedDating,25,rf,Baseline,Baseline,-0.084,-0.334,-0.167,0.003,0.044,0.022,-0.026,-0.086,-0.043,-0.148,nan,nan,0.948,0.89,0.971,0.841,0.50266,7470.1845703125
speedDating,25,svm,Baseline,Baseline,-0.063,0.0,-0.001,-0.009,0.0,-0.002,-0.019,0.0,-0.001,-0.215,nan,nan,0.998,0.997,0.995,0.999,4.793449,26.9375
speedDating,25,xgb,Baseline,Baseline,-0.062,0.0,0.0,-0.006,0.0,0.0,-0.017,0.0,0.0,-0.212,nan,nan,1.0,1.0,1.0,1.0,0.135391,102.6904296875
speedDating,26,lr,Baseline,Baseline,-0.101,0.0,-0.0,0.0,0.0,0.0,-0.049,0.0,-0.001,-0.224,nan,nan,1.0,0.999,0.999,1.0,0.036695,27.0615234375
speedDating,26,rf,Baseline,Baseline,-0.108,-0.404,-0.202,0.007,0.041,0.02,-0.055,-0.134,-0.067,-0.145,nan,nan,0.948,0.897,0.971,0.851,0.504403,7194.7099609375
speedDating,26,svm,Baseline,Baseline,-0.101,0.0,-0.0,0.002,0.0,0.001,-0.047,0.0,0.001,-0.224,nan,nan,0.999,0.998,0.997,0.999,2.849873,26.9375
speedDating,26,xgb,Baseline,Baseline,-0.101,0.0,0.0,-0.001,0.0,0.0,-0.048,0.0,0.0,-0.224,nan,nan,1.0,1.0,1.0,1.0,0.135305,102.6904296875
speedDating,27,lr,Baseline,Baseline,-0.085,0.0,-0.0,-0.018,0.004,0.003,0.012,0.007,0.003,0.001,0.0,0.0,0.999,0.999,0.999,0.999,0.036715,27.0615234375
speedDating,27,rf,Baseline,Baseline,-0.067,-0.075,-0.037,-0.002,0.07,0.035,-0.001,-0.048,-0.024,0.07,0.345,0.173,0.947,0.893,0.97,0.845,0.490955,7146.876953125
speedDating,27,svm,Baseline,Baseline,-0.087,0.0,-0.001,-0.017,0.0,0.002,0.016,0.0,0.002,0.001,0.0,0.0,0.998,0.997,0.995,0.999,2.434986,26.9375
speedDating,27,xgb,Baseline,Baseline,-0.085,0.0,0.0,-0.02,0.0,0.0,0.012,0.0,0.0,0.001,0.0,0.0,1.0,1.0,1.0,1.0,0.134097,102.6884765625
speedDating,28,lr,Baseline,Baseline,-0.019,0.003,0.002,-0.025,-0.001,-0.0,0.007,0.007,0.003,-0.04,0.0,0.0,0.999,0.999,1.0,0.998,0.037532,27.0615234375
speedDating,28,rf,Baseline,Baseline,-0.058,-0.286,-0.143,-0.016,-0.013,-0.006,-0.009,-0.083,-0.04,-0.144,-0.698,-0.349,0.936,0.864,0.961,0.81,0.518051,7621.6376953125
speedDating,28,svm,Baseline,Baseline,-0.02,0.0,0.0,-0.025,0.0,0.0,0.006,0.0,0.0,-0.04,0.0,0.0,1.0,1.0,1.0,1.0,1.52341,26.9375
speedDating,28,xgb,Baseline,Baseline,-0.02,0.0,0.0,-0.025,0.0,0.0,0.006,0.0,0.0,-0.04,0.0,0.0,1.0,1.0,1.0,1.0,0.13413,102.6904296875
speedDating,29,lr,Baseline,Baseline,-0.004,0.0,-0.0,0.001,0.0,0.0,-0.014,0.0,-0.001,-0.095,0.0,0.0,1.0,0.999,0.999,1.0,0.036336,27.0615234375
speedDating,29,rf,Baseline,Baseline,-0.062,-0.321,-0.161,-0.001,-0.007,-0.004,-0.023,-0.077,-0.038,-0.155,-0.754,-0.377,0.94,0.878,0.966,0.828,0.505988,7255.1611328125
speedDating,29,svm,Baseline,Baseline,-0.003,0.0,0.0,-0.0,0.0,0.0,-0.013,0.0,0.0,-0.095,0.0,0.0,1.0,1.0,1.0,1.0,4.648809,26.9375
speedDating,29,xgb,Baseline,Baseline,-0.003,0.0,0.0,-0.0,0.0,0.0,-0.013,0.0,0.0,-0.095,0.0,0.0,1.0,1.0,1.0,1.0,0.137984,102.6884765625
speedDating,30,lr,Baseline,Baseline,-0.075,0.003,0.001,0.002,-0.005,-0.002,-0.013,0.0,0.0,-0.051,0.0,0.0,0.999,0.998,0.997,0.998,0.037054,27.0615234375
speedDating,30,rf,Baseline,Baseline,-0.031,0.248,0.124,-0.012,-0.083,-0.041,-0.021,-0.065,-0.032,-0.016,0.161,0.081,0.957,0.908,0.976,0.863,0.481034,7049.9375
speedDating,30,svm,Baseline,Baseline,-0.075,0.0,0.0,0.001,0.0,0.0,-0.013,0.0,0.0,-0.051,0.0,0.0,1.0,1.0,1.0,1.0,3.273126,26.9375
speedDating,30,xgb,Baseline,Baseline,-0.075,0.0,0.0,0.001,0.0,0.0,-0.013,0.0,0.0,-0.051,0.0,0.0,1.0,1.0,1.0,1.0,0.131523,102.6904296875
